current_rank,ticker,name,sector,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return
1,CMTV,COMMUNITY BANCORP VT,Financials,1,41.169998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,41.330002,,6,40.59,0.01823114,,,
2,ANDE,ANDERSONS INC,Consumer Staples,2,71.32,,18,70.919998,0.00564019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AGIO,AGIOS PHARMACEUTICALS,Health Care,3,34.630001,,,,,,,,31,34.130001,,12,34.209999,-0.00233844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IBM,IBM,Information Technology,4,239.964996,,,,,,,,,,,,,,,,,,,,15,238.735001,,,,,,,,,,,10,235.509995,,26,234.710007,0.00340841,,,,,,,,,,,,,,,,,,
5,FFIV,"F5, Inc.",Information Technology,5,404.630005,,,,,,,,,,,,,,11,407.130005,,,,,14,410.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UHS,Universal Health Services,Health Care,6,175.850006,,,,,,,,,,,,,,,,,,,,,,,33,178.839996,,,,,39,176.360001,,,,,,,,,,,,,,,,,,,,,,,,,
7,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,7,287.938995,,15,281.674988,0.02223842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AVO,MISSION PRODUCE INC,Consumer Staples,8,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,KGS,KODIAK GAS SERVICES INC,Energy,9,64.040001,,33,64.099998,-0.00093599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,64.360001,,,,,,,,,,,,,
10,XOM,ExxonMobil,Energy,10,164.259995,,,,,,,,,,,8,164.559998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,HMH,HMH HOLDING INC CLASS A,Energy,11,20.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,20.905001,,1,20.52,0.01876223,,,,,,
12,TER,Teradyne,Information Technology,12,383.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DMC,DEL MONTE,Consumer Staples,13,32.874001,,,,,,,,34,32.365002,,,,,,,,,,,,,,,,,,,,,,,,,,16,31.4,,31,31.540001,-0.00443884,,,,,,,,,,,,,,,
14,CECO,CECO ENVIRONMENTAL,Industrials,14,78.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MG,MISTRAS GROUP INC,Industrials,15,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ONT,ONTERRIS,Industrials,16,17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,17,35.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ECHO,EchoStar,Communication Services,18,91.32,,,,,35,89.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,93.760002,,,,,,,,41,92.5,
19,GEO,GEO GROUP,Industrials,19,31.610001,,44,32.049999,-0.01372849,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,32.27,,11,32.029999,0.00749301,,,,,,,,,,,,,,,,,,
20,INNV,INNOVAGE HOLDING CORP,Health Care,20,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VIAV,Viavi Solutions Inc. - Common Stock,,21,39.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TKO,TKO Group Holdings,Communication Services,22,191.085007,,48,195.410004,-0.02213294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,195.080002,
