rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,ABM,ABM INDUSTRIES INC,Industrials,100.0,强共识候选,49.505001,62.52,1.08,0.05173149,0.06737818,0.02686169,90.4,61.06,91.6,80.72,100.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 7 个榜单触发；平均名次 #3.9；最高分 100.0；Aster v2 · Balanced Call #1；Aster Call #2；Aster v3 · Quality Momentum #2；Aster v5 · Risk Adjusted #2；单一趋势 · Trend Relay #3；缠论K线 · 洗盘反转 #3；Aster v4 · Tactical Breakout #14
2,AGIO,AGIOS PHARMACEUTICALS,Health Care,100.0,强共识候选,34.830002,59.86,0.94,0.05131304,0.02804017,0.07599639,92.8,48.55,91.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 7 个榜单触发；平均名次 #10.6；最高分 100.0；Aster Call #3；单一信号 · EMA Candle Capture #3；Aster v2 · Balanced Call #6；单一趋势 · Trend Relay #7；Aster v4 · Tactical Breakout #12；Aster v3 · Quality Momentum #19；Aster v5 · Risk Adjusted #24
3,FLXS,FLEXSTEEL INDUSTRIES INC,Consumer Discretionary,100.0,强共识候选,84.470001,63.54,1.06,0.02537028,0.05501778,0.12207761,82.9,62.15,100.0,80.72,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 7 个榜单触发；平均名次 #10.9；最高分 100.0；Aster v2 · Balanced Call #3；Aster v4 · Tactical Breakout #3；Aster v5 · Risk Adjusted #3；Aster Call #4；Aster v3 · Quality Momentum #5；单一趋势 · Trend Relay #8；缠论K线 · 洗盘反转 #50
4,TKO,TKO Group Holdings,Communication Services,100.0,强共识候选,191.449997,53.45,0.55,0.02946710,0.04583196,0.01226665,90.4,75.51,88.8,80.36,30.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #21.3；最高分 88.0；Aster v5 · Risk Adjusted #4；Aster v2 · Balanced Call #7；Aster Call #13；单一信号 · EMA Candle Capture #15；Aster v3 · Quality Momentum #44；Aster v4 · Tactical Breakout #45
5,LRCX,Lam Research,Information Technology,100.0,强共识候选,316.899994,57.81,0.41,0.03010005,0.09470270,0.02971516,90.4,72.91,90.2,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #15.0；最高分 94.0；Aster v5 · Risk Adjusted #7；Aster v2 · Balanced Call #10；单一趋势 · Trend Relay #13；Aster v3 · Quality Momentum #14；Aster Call #15；Aster v4 · Tactical Breakout #31
6,TPL,Texas Pacific Land Corporation,Energy,100.0,强共识候选,379.545013,58.3,0.5,0.04702073,0.03359119,0.08184884,92.8,57.27,91.6,80.0,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #22.3；最高分 94.0；Aster Call #7；Aster v2 · Balanced Call #15；Aster v3 · Quality Momentum #16；Aster v5 · Risk Adjusted #28；Aster v4 · Tactical Breakout #33；单一趋势 · Trend Relay #35
7,ECHO,EchoStar,Communication Services,100.0,强共识候选,91.610001,61.2,0.33,0.01998551,0.06033163,0.02897902,87.7,71.69,100.0,80.72,30.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #12.5；最高分 94.0；Aster v5 · Risk Adjusted #8；Aster Call #10；Aster v3 · Quality Momentum #10；Aster v2 · Balanced Call #11；单一趋势 · Trend Relay #17；单一信号 · 4H EMA 三线翻转 #19
8,RIOT,RIOT PLATFORMS,Information Technology,100.0,强共识候选,22.135,61.81,0.34,0.01513414,0.22563683,0.13716928,87.7,73.33,74.8,80.72,30.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #29.5；最高分 94.0；Aster v5 · Risk Adjusted #20；单一趋势 · Trend Relay #21；缠论K线 · 洗盘反转 #21；Aster Call #35；单一信号 · 4H EMA 三线翻转 #39；Aster v2 · Balanced Call #41
9,SYM,Symbotic Inc. - Class A Common Stock,,100.0,强共识候选,43.169998,61.06,0.39,0.00526262,0.12936561,0.06238465,87.7,72.16,90.2,80.72,30.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #17.7；最高分 94.0；单一信号 · 4H EMA 三线翻转 #7；Aster v5 · Risk Adjusted #13；Aster v2 · Balanced Call #17；Aster Call #21；单一趋势 · Trend Relay #22；Aster v3 · Quality Momentum #26
10,TSLA,"Tesla, Inc.",Consumer Discretionary,100.0,强共识候选,371.25,57.88,0.53,0.04887729,0.04009050,0.12831657,82.9,76.68,91.6,80.72,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #12.5；最高分 94.0；缠论K线 · 洗盘反转 #1；Aster v3 · Quality Momentum #4；Aster v5 · Risk Adjusted #9；Aster v2 · Balanced Call #14；单一趋势 · Trend Relay #18；Aster Call #29
