rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,BAND,BANDWIDTH CLASS A,Communication,98.37,Deep v3 Daily CNN 确认层 强确认,51.619999,59.39,2.15,0.08331578,0.08559411,-0.00038730,92.8,40.12,49.7,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 98.4,Deep v3 Daily CNN 确认层,yes,98.37,2026-09-10
2,SEDG,"SolarEdge Technologies, Inc. - Common Stock",,83.93,Deep v3 Daily CNN 确认层 强确认,36.75,62.7,1.84,0.04611440,0.08215551,0.10194909,87.7,48.24,91.6,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 83.9,Deep v3 Daily CNN 确认层,yes,83.93,2026-09-10
3,LBRT,LIBERTY ENERGY CLASS A,Energy,79.28,Deep v3 Daily CNN 确认层 一般确认,20.76,54.1,1.3,-0.03710571,0.03180909,-0.03396929,87.7,71.92,64.9,80.66,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 79.3,Deep v3 Daily CNN 确认层,no,79.28,2026-09-10
4,MIRM,MIRUM PHARMACEUTICALS,Health Care,78.14,Deep v3 Daily CNN 确认层 一般确认,100.610001,54.14,1.2,0.00564749,0.00806574,0.02370779,87.7,41.36,77.6,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 78.1,Deep v3 Daily CNN 确认层,no,78.14,2026-09-10
5,PGNY,PROGYNY,Health Care,77.98,Deep v3 Daily CNN 确认层 一般确认,27.08,57.18,0.9,0.00296296,0.03004941,0.01957835,87.7,48.25,88.8,80.0,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 78.0,Deep v3 Daily CNN 确认层,no,77.98,2026-09-10
6,HPQ,HP Inc.,Information Technology,76.43,Deep v3 Daily CNN 确认层 一般确认,32.709999,61.62,0.85,0.03251259,0.02250700,0.12560221,82.9,64.59,100.0,80.0,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 76.4,Deep v3 Daily CNN 确认层,no,76.43,2026-09-10
7,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,68.03,Deep v3 Daily CNN 确认层 一般确认,281.920013,54.14,0.95,-0.00062032,0.01886520,0.05881470,87.7,73.82,100.0,80.66,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 68.0,Deep v3 Daily CNN 确认层,no,68.03,2026-09-10
8,OPFI,OPPFI INC CLASS A,Financials,64.36,Deep v3 Daily CNN 确认层 一般确认,7.585,59.82,1.38,-0.00459318,0.04692892,0.15273556,87.7,49.16,100.0,80.0,100.0,72.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 64.4,Deep v3 Daily CNN 确认层,no,64.36,2026-09-10
9,PNTG,PENNANT GROUP,Health Care,57.75,Deep v3 Daily CNN 确认层 一般确认,39.299999,57.64,1.04,0.00691776,0.03639243,0.02745095,87.7,71.68,100.0,80.66,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 57.8,Deep v3 Daily CNN 确认层,no,57.75,2026-09-10
10,SAIC,Science Applications International Corporation - Common Stock,,57.5,Deep v3 Daily CNN 确认层 一般确认,128.759995,55.57,0.61,0.01935632,0.01170738,0.02777775,98.2,53.82,88.8,80.68,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 57.5,Deep v3 Daily CNN 确认层,no,57.5,2026-09-10
11,NEXT,NEXTDECADE,Energy,55.87,Deep v3 Daily CNN 确认层 一般确认,7.67,62.79,1.01,0.02883970,0.02883970,0.13553927,82.9,77.08,100.0,80.66,68.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 55.9,Deep v3 Daily CNN 确认层,no,55.87,2026-09-10
12,PACS,PACS GROUP,Health Care,55.14,Deep v3 Daily CNN 确认层 一般确认,44.84,59.9,1.81,0.02304353,0.04037128,-0.00244719,90.4,47.37,81.1,80.66,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 55.1,Deep v3 Daily CNN 确认层,no,55.14,2026-09-10
13,DBX,"Dropbox, Inc. - Class A Common Stock",,50.33,Deep v3 Daily CNN 确认层 未确认,35.049999,54.02,1.58,0.02335764,0.01623650,0.02846235,79.6,54.52,100.0,80.68,100.0,100.0,fresh_bullish_cross,mixed_or_bearish,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 50.3,Deep v3 Daily CNN 确认层,no,50.33,2026-09-10
14,AGL,AGILON HEALTH,Health Care,49.67,Deep v3 Daily CNN 确认层 未确认,92.772499,53.38,1.95,0.00560947,0.06147022,0.07400442,87.7,48.5,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 49.7,Deep v3 Daily CNN 确认层,no,49.67,2026-09-10
15,CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,47.15,Deep v3 Daily CNN 确认层 未确认,35.43,54.34,1.4,0.01431434,0.05635059,0.06236888,87.7,48.43,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 47.1,Deep v3 Daily CNN 确认层,no,47.15,2026-09-10
16,TER,Teradyne,Information Technology,46.66,Deep v3 Daily CNN 确认层 未确认,370.190002,52.81,0.85,-0.02655870,0.08374200,-0.02468647,90.4,72.3,64.9,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 46.7,Deep v3 Daily CNN 确认层,no,46.66,2026-09-10
17,WRB,W. R. Berkley Corporation,Financials,41.19,Deep v3 Daily CNN 确认层 未确认,70.059998,56.26,1.86,0.00646455,0.02832821,-0.00099813,87.7,47.98,81.1,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 41.2,Deep v3 Daily CNN 确认层,no,41.19,2026-09-10
18,KE,KIMBALL ELECTRONICS INC,Information Technology,38.17,Deep v3 Daily CNN 确认层 未确认,24.860001,55.5,0.8,0.00282372,0.02515468,-0.01388330,87.7,70.91,81.1,80.66,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 38.2,Deep v3 Daily CNN 确认层,no,38.17,2026-09-10
19,ELV,Elevance Health,Health Care,35.48,Deep v3 Daily CNN 确认层 未确认,416.484985,62.73,1.87,0.03866770,0.02620421,0.06695268,73.0,62.21,91.6,80.36,100.0,100.0,mixed_sideways,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 35.5,Deep v3 Daily CNN 确认层,no,35.48,2026-09-10
20,HCA,HCA Healthcare,Health Care,26.35,Deep v3 Daily CNN 确认层 未确认,421.329987,57.23,0.86,0.00624528,0.04808454,0.02366430,92.8,57.31,88.8,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 26.4,Deep v3 Daily CNN 确认层,no,26.35,2026-09-10
21,WABC,WESTAMERICA BANCORPORATION,Financials,22.68,Deep v3 Daily CNN 确认层 未确认,59.110001,55.39,1.62,0.01992924,0.00288432,0.00493031,92.8,42.94,77.6,80.66,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 22.7,Deep v3 Daily CNN 确认层,no,22.68,2026-09-10
22,CCNE,CNB FINANCIAL CORP,Financials,20.07,Deep v3 Daily CNN 确认层 未确认,34.470001,54.01,0.78,0.01382356,0.00996191,-0.00115900,87.7,71.18,69.9,80.66,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 20.1,Deep v3 Daily CNN 确认层,no,20.07,2026-09-10
23,FFIV,"F5, Inc.",Information Technology,19.25,Deep v3 Daily CNN 确认层 未确认,398.480011,52.21,1.01,-0.01317478,0.01889594,-0.03713905,90.4,64.29,64.9,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 19.2,Deep v3 Daily CNN 确认层,no,19.25,2026-09-10
24,FANG,Diamondback Energy,Energy,18.11,Deep v3 Daily CNN 确认层 未确认,205.389999,59.95,0.93,0.02173911,0.00968440,0.01799169,92.8,56.8,77.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 18.1,Deep v3 Daily CNN 确认层,no,18.11,2026-09-10
