current_rank,ticker,name,sector,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return
1,IBM,IBM,Information Technology,1,237.164993,,5,239.964996,-0.01166838,,,,,,,,,,,,,,,,,,,29,238.735001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ESP,ESPEY MANUFACTURING AND ELECTRONIC,Industrials,2,63.654999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,3,281.744995,,4,287.938995,-0.02151150,16,281.674988,0.02223842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UHS,Universal Health Services,Health Care,4,175.0,,12,175.850006,-0.00483370,,,,,,,,,,,,,,,,,,,,,,22,178.839996,,,,,37,176.360001,,,,,,,,,,,,,,,,,,,,,,
5,PNTG,PENNANT GROUP,Health Care,5,39.951199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HMH,HMH HOLDING INC CLASS A,Energy,6,20.290001,,7,20.860001,-0.02732502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,20.905001,,1,20.52,0.01876223,,,
7,AMN,AMN HEALTHCARE,Health Care,7,34.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NHC,NATIONAL HEALTHCARE CORP,Health Care,8,229.960007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,230.505005,,,,,,,,,,
9,VABK,VIRGINIA NATIONAL BANKSHARES CORP,Financials,9,47.529999,,,,,,,,1,46.939999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FFIV,"F5, Inc.",Information Technology,10,401.984985,,10,404.630005,-0.00653689,,,,,,,,,,,,,13,407.130005,,,,,7,410.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FDBC,FIDELITY D AND D BANCORP INC,Financials,11,55.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VST,Vistra Corp.,Utilities,12,149.395004,,49,151.122406,-0.01143048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,STRW,STRAWBERRY FIELDS REIT INC,Real Estate,13,14.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,TSLA,"Tesla, Inc.",Consumer Discretionary,14,368.410004,,39,367.809998,0.00163129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DMC,DEL MONTE,Consumer Staples,15,33.060001,,6,32.874001,0.00565797,,,,,,,19,32.365002,,,,,,,,,,,,,,,,,28,31.9,,,,,25,31.629999,,4,31.4,0.00732481,18,31.540001,-0.00443884,,,,,,,,,,,,
16,ONT,ONTERRIS,Industrials,16,17.75,,19,17.85,-0.00560224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CHRW,C.H. Robinson,Industrials,17,152.205002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SWKS,Skyworks Solutions,Information Technology,18,75.699997,,,,,,,,39,74.019997,,3,71.669998,0.03278916,21,67.410004,0.06319528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ASTH,ASTRANA HEALTH,Health Care,19,39.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ODD,ODDITY TECH CLASS A,Consumer Staples,20,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AMD,Advanced Micro Devices,Information Technology,21,507.320099,,,,,28,505.73999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,508.890015,,,,,,,
22,INTC,Intel,Information Technology,22,100.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,103.239998,,,,,,,
23,GLW,Corning Inc.,Information Technology,23,164.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IBTA,IBOTTA CLASS A,Communication,24,39.200001,,27,39.299999,-0.00254448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,APC,ARKO PETROLEUM CORP CLASS A,Consumer Discretionary,25,19.068501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,TER,Teradyne,Information Technology,26,370.01001,,11,383.690002,-0.03565376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ASC,ARDMORE SHIPPING CORP,Energy,27,18.33,,,,,,,,,,,50,18.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,17.66,,2,17.370001,0.01669539
28,MG,MISTRAS GROUP INC,Industrials,28,19.65,,8,20.0,-0.01750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SNDA,SONIDA SENIOR LIVING,Health Care,29,40.515999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,40.970001,,,,,,,,,,,,,,,,,,,,,,,,,
30,CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,30,35.459999,,20,35.580002,-0.00337277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MRVL,Marvell Technology,Information Technology,31,230.957504,,41,235.009995,-0.01724391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,235.845001,,,,,29,225.875,
32,BLLN,"BillionToOne, Inc. - Class A common stock",,32,99.940002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FSBW,FS BANCORP INC,Financials,33,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NUTX,NUTEX HEALTH INC,Health Care,34,198.509995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MATX,MATSON INC,Industrials,35,226.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PRTH,PRIORITY TECHNOLOGY HOLDINGS INC,Financials,36,5.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TDS,TELEPHONE AND DATA SYSTEMS,Communication,37,37.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,GOLD,GOLD INC,Consumer Discretionary,38,47.514999,,,,,5,47.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,45.23,,,,,,,,,,,,,,,,
39,SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",,39,266.420013,,37,277.700012,-0.04061937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NTSK,"Netskope, Inc. - Class A Common Stock",,40,15.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,STNG,SCORPIO TANKERS,Energy,41,83.370003,,,,,39,82.18,,46,82.290001,-0.00133675,,,,38,79.574997,,17,78.875,0.00887476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,79.620003,,,,
42,CVX,Chevron Corporation,Energy,42,212.964005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ITIC,INVESTORS TITLE,Financials,43,300.880005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,290.140015,,,,,,,,,,
44,OVLY,OAK VALLEY BANCORP,Financials,44,34.779999,,,,,,,,,,,13,34.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,33.650002,
45,FCFS,FIRSTCASH HOLDINGS INC,Financials,45,228.580002,,32,227.369995,0.00532175,37,225.419998,0.00865051,,,,,,,,,,,,,,,,,,,,,,23,229.509995,,,,,,,,,,,,,,,,,15,215.660004,,,,,,,
46,PARR,PAR PACIFIC HOLDINGS,Energy,46,82.671097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,QCOM,Qualcomm,Information Technology,47,172.679993,,,,,,,,14,168.740005,,,,,27,166.610001,,5,170.479996,-0.02270058,38,164.190002,0.03830924,26,164.779999,-0.00358051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,48,61.764999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,RAMP,LIVERAMP HOLDINGS INC,Information Technology,49,37.779999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,LBRT,LIBERTY ENERGY CLASS A,Energy,50,21.120001,,29,22.07,-0.04304481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
