current_rank,ticker,name,sector,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return
1,VERA,VERA THERAPEUTICS CLASS A,Health Care,1,35.049999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,2,192.610001,,,,,,,,,,,,,,,,,,,,,,,,,,43,194.600006,,,,,,,,,,,,,,12,188.309998,,,,,,,,,,,,,
3,PDLB,PONCE FINANCIAL GROUP INC,Financials,3,20.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,4,79.379997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PTGX,PROTAGONIST THERAPEUTICS,Health Care,5,148.179993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CNC,Centene Corporation,Health Care,6,66.410004,,,,,,,,,,,,,,,,,,,,,,,,,,13,65.330002,,,,,,,,27,65.629997,,,,,,,,,,,,,,,,,,,
7,IBM,IBM,Information Technology,7,243.235001,,,,,14,239.964996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CI,Cigna,Health Care,8,280.779999,,11,280.880005,-0.00035605,,,,,,,,,,,,,39,283.049988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FBNC,FIRST BANCORP,Financials,9,64.300003,,13,64.68,-0.00587503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PGC,PEAPACK GLADSTONE FINANCIAL CORP,Financials,10,45.799999,,15,46.040001,-0.00521290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SRCE,1ST SOURCE,Financials,11,87.160004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FSBC,FIVE STAR BANCORP,Financials,12,46.41,,30,46.490002,-0.00172084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CMRE,COSTAMARE,Industrials,13,15.29,,,,,,,,,,,,,,,,,,,,48,15.29,,15,15.42,-0.00843061,50,15.345,0.00488759,,,,,,,,,,,,,,,,,,,,,,,,,,,
