current_rank,ticker,name,sector,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,QCOM,Qualcomm,Information Technology,1,184.330002,,2,176.880005,0.04211893,1,176.399994,0.00272115,,,,,,
2,TSLA,"Tesla, Inc.",Consumer Discretionary,2,365.899994,,3,363.559998,0.00643634,2,367.809998,-0.01155488,4,368.160004,-0.00095069,,,
3,ANDE,ANDERSONS INC,Consumer Staples,3,71.635002,,4,71.879997,-0.00340839,4,71.32,0.00785189,9,70.919998,0.00564019,,,
4,TDS,TELEPHONE AND DATA SYSTEMS,Communication,4,37.630001,,9,37.402,0.00609596,15,37.869999,-0.01235804,,,,,,
5,CHMG,CHEMUNG FINANCIAL CORP,Financials,5,85.099998,,16,84.809998,0.00341941,7,83.900002,0.01084620,47,84.43,-0.00627737,,,
6,INTC,Intel,Information Technology,6,103.379997,,,,,,,,,,,,,
7,BCAL,CALIFORNIA BANCORP,Financials,7,21.75,,7,21.82,-0.00320807,,,,20,21.73,,44,21.9,-0.00776256
8,ROIV,Roivant Sciences Ltd. - Common Shares,,8,40.669998,,,,,,,,,,,,,
9,CDW,CDW Corporation,Information Technology,9,151.585007,,,,,,,,,,,19,152.380005,
10,DVN,Devon Energy,Energy,10,49.834999,,46,50.014999,-0.00359892,,,,,,,,,
11,GNE,GENIE ENERGY LTD CLASS B,Utilities,11,15.7699,,37,15.735,0.00221799,,,,,,,,,
12,STNG,SCORPIO TANKERS,Energy,12,84.459999,,,,,34,83.059998,,29,82.18,0.01070818,8,82.290001,-0.00133675
13,AMD,Advanced Micro Devices,Information Technology,13,515.940002,,22,503.600006,0.02450357,29,521.094971,-0.03357347,,,,,,
14,PI,IMPINJ,Information Technology,14,179.139893,,,,,,,,,,,,,
15,SIG,SIGNET JEWELERS,Consumer Discretionary,15,98.489998,,10,97.769997,0.00736423,,,,,,,,,
16,TVTX,TRAVERE THERAPEUTICS,Health Care,16,67.900002,,,,,,,,,,,,,
17,SYM,Symbotic Inc. - Class A Common Stock,,17,42.805,,,,,,,,,,,,,
18,PNTG,PENNANT GROUP,Health Care,18,39.551998,,5,39.299999,0.00641219,,,,,,,,,
19,CXT,CRANE NXT,Information Technology,19,51.665001,,,,,,,,,,,,,
20,ASND,Ascendis Pharma A/S - Ordinary Share,,20,262.929993,,14,261.230011,0.00650761,5,260.809998,0.00161042,2,270.089996,-0.03435891,3,270.559998,-0.00173715
21,TIGO,Millicom International Cellular S.A. - Common Stock,,21,96.839996,,,,,,,,,,,,,
22,RIOT,RIOT PLATFORMS,Information Technology,22,21.6441,,,,,43,22.07,,,,,,,
23,ABM,ABM INDUSTRIES INC,Industrials,23,49.259998,,8,49.040001,0.00448607,6,49.740002,-0.01407320,,,,,,
24,SD,SANDRIDGE ENERGY INC,Energy,24,14.56,,,,,,,,,,,,,
25,FNLC,FIRST BANCORP INC,Financials,25,35.540001,,25,35.040001,0.01426941,,,,,,,,,
26,PLUS,EPLUS,Information Technology,26,91.165001,,,,,,,,,,,,,
27,ATLO,AMES NATIONAL CORP,Financials,27,32.169998,,29,32.34,-0.00525671,,,,7,32.299999,,,,
28,OKTA,"Okta, Inc. - Class A Common Stock",,28,168.490005,,13,171.110001,-0.01531176,31,172.740005,-0.00943617,,,,36,170.600006,
29,PFIS,PEOPLES FINANCIAL SERVICES CORP,Financials,29,71.815002,,19,71.699997,0.00160397,9,70.889999,0.01142613,,,,11,71.830002,
30,SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",,30,278.950012,,,,,,,,,,,,,
31,TRST,TRUSTCO BANK CORP,Financials,31,57.689999,,32,58.419998,-0.01249570,,,,,,,,,
32,CNXN,PC CONNECTION INC,Information Technology,32,85.300003,,45,82.589996,0.03281278,48,82.730003,-0.00169234,17,83.639999,-0.01087991,,,
