current_rank,ticker,name,sector,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return
1,AVBC,AVIDIA BANCORP INC,Financials,1,22.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EGBN,EAGLE BANCORP,Financials,2,28.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VERA,VERA THERAPEUTICS CLASS A,Health Care,3,33.650002,,1,35.049999,-0.03994285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,4,200.235001,,2,192.610001,0.03958777,,,,,,,,,,,,,,,,,,,,,,,,,43,194.600006,,,,,,,,,,,,,,12,188.309998,,,,,,,,,,
5,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,5,79.059998,,4,79.379997,-0.00403123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PDLB,PONCE FINANCIAL GROUP INC,Financials,6,20.59,,3,20.540001,0.00243423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CHRS,COHERUS ONCOLOGY INC,Health Care,7,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PTGX,PROTAGONIST THERAPEUTICS,Health Care,8,147.759995,,5,148.179993,-0.00283438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CI,Cigna,Health Care,9,287.934998,,8,280.779999,0.02548258,11,280.880005,-0.00035605,,,,,,,,,,,,,39,283.049988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CNC,Centene Corporation,Health Care,10,67.730003,,6,66.410004,0.01987651,,,,,,,,,,,,,,,,,,,,,,,,,13,65.330002,,,,,,,,27,65.629997,,,,,,,,,,,,,,,,
11,IBM,IBM,Information Technology,11,244.830002,,7,243.235001,0.00655745,,,,14,239.964996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FSBC,FIVE STAR BANCORP,Financials,12,47.169998,,12,46.41,0.01637574,30,46.490002,-0.00172084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ALRS,ALERUS FINANCIAL CORP,Financials,13,33.52,,14,33.27,0.00751428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PGC,PEAPACK GLADSTONE FINANCIAL CORP,Financials,14,46.049999,,10,45.799999,0.00545852,15,46.040001,-0.00521290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SRCE,1ST SOURCE,Financials,15,87.269997,,11,87.160004,0.00126197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,16,43.830002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,44.240002,,18,43.654999,0.01340060,,,,,,,,,,,,
17,KN,KNOWLES,Information Technology,17,34.990002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FBNC,FIRST BANCORP,Financials,18,64.709999,,9,64.300003,0.00637630,13,64.68,-0.00587503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,IBCP,INDEPENDENT BANK CORP,Financials,19,37.25,,45,37.07,0.00485568,35,37.150002,-0.00215349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MCBS,METROCITY BANKSHARES INC,Financials,20,35.650002,,17,35.5,0.00422541,,,,,,,,,,13,35.790001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MBIN,MERCHANTS BANCORP,Financials,21,53.279999,,15,53.150002,0.00244585,39,52.98,0.00320880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,HSTM,HEALTHSTREAM,Health Care,22,29.139999,,16,29.110001,0.00103050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,28.790001,,,,,,,,,,
23,BVFL,BV FINANCIAL INC,Financials,23,20.92,,48,20.92,0.00000000,17,21.700001,-0.03594474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CMRE,COSTAMARE,Industrials,24,14.9768,,13,15.29,-0.02048398,,,,,,,,,,,,,,,,,,,48,15.29,,15,15.42,-0.00843061,50,15.345,0.00488759,,,,,,,,,,,,,,,,,,,,,,,,
25,LOGI,Logitech International S.A. - Registered Shares,,25,100.294998,,18,102.699997,-0.02341771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DKNG,DraftKings Inc. - Class A Common Stock,,26,24.200001,,19,24.74,-0.02182696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,25.26,,,,,,,
27,KR,Kroger,Consumer Staples,27,60.400002,,20,58.459999,0.03318514,,,,,,,,,,,,,,,,19,57.939999,,,,,,,,,,,,,,,,,,,,27,57.855,,,,,,,,,,,,,
28,WST,West Pharmaceutical Services,Health Care,28,347.73999,,26,346.059998,0.00485463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,353.559998,,,,,24,356.01001,,,,,,,,,,
29,ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share,,29,10.085,,21,10.31,-0.02182347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,WABC,WESTAMERICA BANCORPORATION,Financials,30,59.369999,,22,59.09,0.00473852,6,59.110001,-0.00033837,,,,,,,,,,10,58.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,31,9.41,,,,,9,9.37,,,,,,,,,,,,,,,,,,,,18,9.42,,20,9.375,0.00480000,3,9.46,-0.00898520,,,,,,,,,,,,,,,,,,,,,
32,TRMK,TRUSTMARK,Financials,32,47.25,,24,46.98,0.00574713,8,47.450001,-0.00990518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ALKT,ALKAMI TECHNOLOGY,Information Technology,33,20.014999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NATL,NCR ATLEOS,Financials,34,46.48,,23,46.639,-0.00340916,38,46.25,0.00841081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PDYN,PALLADYNE AI CORP,Industrials,35,5.805,,25,5.77,0.00606586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NWSA,News Corp (Class A),Communication Services,36,30.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,DG,Dollar General,Consumer Staples,37,127.739998,,,,,,,,,,,,,,,,,,,,,,,24,126.75,,,,,,,,48,122.800003,,,,,,,,15,122.425003,,,,,,,,,,,,,
38,OLLI,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock",,38,76.160004,,,,,,,,,,,43,76.879997,,10,76.565002,0.00411409,,,,,,,36,75.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CORT,Corcept Therapeutics Incorporated - Common Stock,,39,114.470001,,,,,,,,,,,44,113.980003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,HOPE,HOPE BANCORP INC,Financials,40,14.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,COHU,COHU,Information Technology,41,53.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BWB,BRIDGEWATER BANCSHARES INC,Financials,42,21.629999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,QCRH,QCR HOLDINGS INC,Financials,43,103.150002,,,,,18,101.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BBT,BEACON FINANCIAL,Financials,44,31.620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,DCOM,DIME COMMERCIAL BANCSHARES,Financials,45,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,40.509998,,,,,,,,,,,,,,,,,,,,,,,,,
46,MDWD,MEDIWOUND LTD,Health Care,46,13.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,HBNC,HORIZON BANCORP INC,Financials,47,19.889999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CBK,COMMERCIAL BANCGROUP INC,Financials,48,34.150002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CBNK,CAPITAL BANCORP INC,Financials,49,36.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SBCF,SEACOAST BANKING OF FLORIDA,Financials,50,34.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
