current_rank,ticker,name,sector,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return
1,STRZ,STARZ ENTERTAINMENT,Communication,1,27.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CI,Cigna,Health Care,2,288.269989,,2,290.170013,-0.00654797,,,,,,,,,,,,,1,282.519989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,WST,West Pharmaceutical Services,Health Care,3,357.790009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CTKB,CYTEK BIOSCIENCES,Health Care,4,4.9401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,KR,Kroger,Consumer Staples,5,60.73,,1,60.889999,-0.00262767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TCI,TRANSCONTINENTAL REALTY INVESTORS,Real Estate,6,38.494999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PGNY,PROGYNY,Health Care,7,27.639999,,,,,38,27.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SIRI,SiriusXM Holdings Inc. - Common Stock,,8,29.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MO,Altria,Consumer Staples,9,69.43,,12,70.614998,-0.01678111,,,,,,,,,,,,,,,,46,69.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GH,"Guardant Health, Inc. - Common Stock",,10,170.854996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,169.440002,,17,170.729996,-0.00755575,,,,,,
11,CTSH,Cognizant,Information Technology,11,63.619999,,16,64.099998,-0.00748828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PBI,PITNEY BOWES,Industrials,12,17.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IQV,IQVIA,Health Care,13,270.11499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CSTL,CASTLE BIOSCIENCES,Health Care,14,34.119999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,QCOM,Qualcomm,Information Technology,15,187.575104,,20,180.149994,0.04121627,9,181.970001,-0.01000169,9,176.880005,0.02877655,49,176.399994,0.00272115,26,174.089996,0.01326899,5,168.740005,0.03170553,29,169.960007,-0.00717817,5,166.610001,0.02010687,25,170.479996,-0.02270058,19,164.190002,0.03830924,16,164.779999,-0.00358051,,,,,,,,,,,,,,,,,,,,,
16,ANDE,ANDERSONS INC,Consumer Staples,16,71.745003,,28,71.68,0.00090685,6,70.970001,0.01000421,28,71.879997,-0.01265993,1,71.32,0.00785189,27,70.919998,0.00564019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,IBM,IBM,Information Technology,17,247.955002,,32,249.139999,-0.00475635,12,243.235001,0.02427693,,,,,,,,,,,,,,,,,,,,,,,,,38,238.735001,,,,,,,,,,,,,,,,,,,,,,
18,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,18,200.339996,,10,200.669998,-0.00164450,,,,,,,,,,,,,,,,,,,,,,,,,50,198.490005,,,,,,,,50,196.529999,,,,,,,,,,,,,,,,
19,PGR,Progressive Corporation,Financials,19,220.559998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,KRT,KARAT PACKAGING INC,Industrials,20,48.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ABBV,AbbVie,Health Care,21,260.359985,,31,261.734985,-0.00525341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ITIC,INVESTORS TITLE,Financials,22,302.76001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ZD,ZIFF DAVIS INC,Communication,23,57.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GCBC,GREENE COUNTY BANCORP INC,Financials,24,35.880001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,EBAY,eBay Inc.,Consumer Discretionary,25,107.139999,,34,108.989998,-0.01697403,5,107.75,0.01150810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CDNA,CAREDX,Health Care,26,52.380001,,39,52.369999,0.00019099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,LUMN,LUMEN TECHNOLOGIES,Communication,27,7.05,,35,7.035,0.00213220,,,,,,,17,6.82,,48,6.65,0.02556391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FFIV,"F5, Inc.",Information Technology,28,420.369995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,410.220001,,,,,,,,,,,,,,,,,,,,,,
29,NOW,ServiceNow,Information Technology,29,141.440002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GEN,Gen Digital,Information Technology,30,30.915001,,45,31.41,-0.01575928,,,,,,,,,,,,,,,,,,,,,,,,,43,31.02,,,,,14,29.639999,,26,29.309999,0.01125896,10,29.110001,0.00687042,42,28.785,0.01129064,,,,,,,,,
31,CDW,CDW Corporation,Information Technology,31,152.820007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NTRA,"Natera, Inc. - Common Stock",,32,340.76001,,43,341.790009,-0.00301354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,EG,Everest Group,Financials,33,378.424988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NAVI,NAVIENT,Financials,34,9.87,,21,9.78,0.00920245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TMO,Thermo Fisher Scientific,Health Care,35,626.38501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,DAVE,DAVE CLASS A,Financials,36,387.929993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MTCH,"Match Group, Inc. - Common Stock",,37,42.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,39.82,,,,
38,AMPH,AMPHASTAR PHARMACEUTICALS,Health Care,38,23.6838,,,,,,,,,,,,,,,,,,,,,,,,,,38,22.530001,,,,,,,,31,22.02,,37,21.98,0.00181984,,,,,,,,,,,,,,,
39,ASIC,ATEGRITY SPECIALTY INSURANCE COMPA,Financials,39,27.93,,,,,,,,,,,,,,,,,42,27.450001,,,,,,,,,,,,,,,,,,,,,,,,,,19,25.959999,,,,,,,,,,
40,VRNS,VARONIS SYSTEMS,Information Technology,40,47.095001,,,,,,,,,,,,,,,,,37,46.09,,,,,,,,,,,2,43.919998,,,,,,,,,,,,,,,,,,,,,,,,,
41,RSG,Republic Services,Industrials,41,225.039993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PLMR,PALOMAR HOLDINGS,Financials,42,136.949997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,DGICA,DONEGAL GROUP INC CLASS A,Financials,43,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,EIG,EMPLOYERS HOLDINGS,Financials,44,50.209999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ARL,AMERICAN REALTY INVESTORS INC,Real Estate,45,16.08,,,,,3,16.08,,,,,,,,,,,22,15.4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,AMPL,AMPLITUDE CLASS A,Information Technology,46,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BRCC,BRC INC CLASS A,Consumer Staples,47,8.76,,7,8.95,-0.02122905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,LMB,LIMBACH HOLDINGS INC,Industrials,48,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,EOG,EOG Resources,Energy,49,151.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,FANG,Diamondback Energy,Energy,50,210.883499,,,,,,,,,,,,,,,,,,,,31,203.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
