current_rank,ticker,name,sector,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,FFIV,"F5, Inc.",Information Technology,1,419.815002,,1,430.880005,-0.02568001,8,411.48999,0.04712147,27,411.709991,-0.00053436,,,,,,,,,,,,
2,QCOM,Qualcomm,Information Technology,2,189.125,,3,187.800003,0.00705536,2,180.149994,0.04246466,1,181.970001,-0.01000169,2,176.880005,0.02877655,1,176.399994,0.00272115,,,,,,
3,EWTX,EDGEWISE THERAPEUTICS,Health Care,3,45.220001,,,,,,,,35,44.400002,,,,,,,,,,,,,
4,FTNT,Fortinet,Information Technology,4,171.350006,,2,172.369995,-0.00591744,,,,,,,,,,,,,,,,,,
5,VRSN,Verisign,Information Technology,5,299.920013,,25,297.26001,0.00894841,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
6,PNTG,PENNANT GROUP,Health Care,6,41.330002,,21,39.970001,0.03402554,9,40.110001,-0.00349040,42,39.200001,0.02321429,5,39.299999,-0.00254448,,,,,,,,,
7,FNLC,FIRST BANCORP INC,Financials,7,35.459999,,8,35.68,-0.00616595,16,35.279999,0.01133790,,,,25,35.040001,,,,,,,,,,
8,EBAY,eBay Inc.,Consumer Discretionary,8,108.860001,,27,108.029999,0.00768307,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
9,DGX,Quest Diagnostics,Health Care,9,246.854996,,9,247.289993,-0.00175906,,,,,,,,,,,,,,,,,,
10,WST,West Pharmaceutical Services,Health Care,10,363.380005,,10,364.869995,-0.00408362,,,,,,,,,,,,,,,,,,
11,ICLR,ICON plc - Ordinary Shares,,11,174.149994,,,,,,,,,,,,,,,,,,,,,,
12,KR,Kroger,Consumer Staples,12,61.380001,,,,,,,,,,,,,,,,,,,,,,
13,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,13,74.5,,12,74.629997,-0.00174189,,,,,,,,,,,,,,,,,,
14,FRAF,FRANKLIN FINANCIAL SERVICES CORP,Financials,14,63.639999,,11,64.260002,-0.00964835,,,,,,,,,,,,,,,,35,64.260002,
15,LARK,LANDMARK BANCORP INC,Financials,15,32.84,,34,33.330002,-0.01470153,23,32.470001,0.02648602,,,,40,32.48,,,,,,,,,,
16,PANW,Palo Alto Networks,Information Technology,16,379.285004,,5,375.089996,0.01118400,,,,,,,,,,,,,,,,,,
17,NWSA,News Corp (Class A),Communication Services,17,30.32,,,,,,,,,,,,,,,,,,,,,,
18,GH,"Guardant Health, Inc. - Common Stock",,18,177.479996,,20,175.649994,0.01041846,,,,,,,,,,,,,,,,,,
19,TENB,TENABLE HOLDINGS,Information Technology,19,36.25,,,,,,,,,,,,,,,,,,,,,,
20,FOX,Fox Corporation (Class B),Communication Services,20,59.619999,,,,,,,,,,,,,,,,,,,,,,
21,CVLT,COMMVAULT SYSTEMS,Information Technology,21,144.845001,,,,,,,,,,,,,,,,,,,,,,
22,LQDT,LIQUIDITY SERVICES INC,Industrials,22,43.645,,,,,,,,,,,,,,,,,,,,,,
23,CXW,CORECIVIC REIT,Industrials,23,35.639999,,,,,,,,,,,,,,,,,,,,,,
24,NWFL,NORWOOD FINANCIAL CORP,Financials,24,35.299999,,29,35.25,0.00141841,,,,,,,,,,,,,,,,,,
25,BPRN,PRINCETON BANCORP INC,Financials,25,43.799999,,31,43.880001,-0.00182320,,,,,,,39,43.59,,,,,,,,,,
26,GCBC,GREENE COUNTY BANCORP INC,Financials,26,36.099998,,30,36.02,0.00222093,,,,,,,,,,,,,,,,,,
27,BCAL,CALIFORNIA BANCORP,Financials,27,21.9,,32,22.09,-0.00860118,10,22.030001,0.00272351,15,21.809999,0.01008721,7,21.82,-0.00045834,,,,20,21.73,,44,21.9,-0.00776256
28,TRST,TRUSTCO BANK CORP,Financials,28,58.419998,,33,59.110001,-0.01167320,26,58.619999,0.00835896,34,58.450001,0.00290843,32,58.419998,0.00051357,,,,,,,,,
29,LTC,LTC PROPERTIES REIT,Real Estate,29,43.365002,,,,,,,,,,,,,,,,,,,,,,
30,VRNS,VARONIS SYSTEMS,Information Technology,30,47.970001,,6,47.470001,0.01053297,3,47.48,-0.00021059,9,45.119999,0.05230499,6,45.5,-0.00835167,17,46.09,-0.01280104,1,45.459999,0.01385836,1,46.09,-0.01366893
31,CDW,CDW Corporation,Information Technology,31,150.919998,,,,,32,151.699997,,2,153.789993,-0.01358993,,,,,,,,,,19,152.380005,
32,NKSH,NATIONAL BANKSHARES INC,Financials,32,43.130001,,36,43.299999,-0.00392605,,,,,,,,,,,,,,,,,,
33,CSR,CENTERSPACE,Real Estate,33,57.767799,,37,57.82,-0.00090282,,,,,,,,,,,,,,,,,,
34,PFG,Principal Financial Group,Financials,34,118.724998,,38,118.370003,0.00299903,,,,,,,34,114.959999,,12,114.019997,0.00824419,3,115.040001,-0.00886652,2,116.68,-0.01405553
35,AMD,Advanced Micro Devices,Information Technology,35,523.800781,,,,,,,,31,516.130005,,22,503.600006,0.02488086,29,521.094971,-0.03357347,,,,,,
36,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,36,200.384995,,41,198.630005,0.00883547,5,200.669998,-0.01016591,,,,,,,,,,,,,,,
37,PI,IMPINJ,Information Technology,37,181.774994,,,,,,,,3,176.820007,,,,,,,,,,,,,
38,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,38,136.479996,,,,,,,,,,,,,,,,,,,,,,
39,MTCH,"Match Group, Inc. - Common Stock",,39,44.259998,,,,,,,,,,,,,,,,,,,,,,
40,CVBF,CVB FINANCIAL CORP,Financials,40,22.9,,13,22.91,-0.00043649,,,,,,,,,,,,,,,,,,
41,CRVL,CORVEL,Health Care,41,71.190002,,45,71.650002,-0.00642010,17,72.18,-0.00734273,,,,,,,,,,,,,,,
42,OPBK,OP BANCORP,Financials,42,15.49,,15,15.48,0.00064599,,,,,,,,,,,,,,,,,,
43,ASO,ACADEMY SPORTS AND OUTDOORS,Consumer Discretionary,43,52.080002,,,,,,,,,,,,,,,,,,,,,,
44,VTRS,Viatris,Health Care,44,16.8899,,,,,,,,,,,,,,,,,,,,30,16.879999,
45,MRVL,Marvell Technology,Information Technology,45,228.970093,,,,,,,,,,,,,,,,,,,,,,
46,VABK,VIRGINIA NATIONAL BANKSHARES CORP,Financials,46,48.43,,,,,,,,,,,,,,,,,,,,,,
47,CRWD,CrowdStrike,Information Technology,47,243.039993,,,,,,,,,,,,,,,,,,,,,,
48,WSFS,WSFS FINANCIAL,Financials,48,80.360001,,16,80.660004,-0.00371935,15,80.639999,0.00024808,,,,,,,,,,,,,,,
49,NWBI,NORTHWEST BANCSHARES INC,Financials,49,15.56,,17,15.6,-0.00256410,11,15.55,0.00321543,,,,,,,,,,40,15.5,,,,
50,SHBI,SHORE BANCSHARES INC,Financials,50,23.42,,22,23.57,-0.00636402,,,,,,,,,,,,,,,,,,
