current_rank,ticker,name,sector,2026-09-18__predicted_rank,2026-09-18__close,2026-09-18__next_snapshot_return,2026-09-17__predicted_rank,2026-09-17__close,2026-09-17__next_snapshot_return,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,GILD,Gilead Sciences,Health Care,1,149.960007,,8,150.889999,-0.00616338,,,,,,,,,,,,,,,,,,,,,,,,
2,FTNT,Fortinet,Information Technology,2,168.490005,,1,172.580002,-0.02369914,9,171.770004,0.00471560,2,172.369995,-0.00348083,,,,,,,,,,,,,,,,,,
3,XMTR,XOMETRY CLASS A,Industrials,3,96.665001,,3,95.260002,0.01474910,,,,,,,,,,,,,,,,,,,,,,,,
4,ARQT,ARCUTIS BIOTHERAPEUTICS,Health Care,4,25.9,,35,26.459999,-0.02116398,,,,,,,,,,,,,,,,,,,,,,,,
5,TENB,TENABLE HOLDINGS,Information Technology,5,35.349998,,6,36.060001,-0.01968949,45,36.369999,-0.00852345,,,,,,,,,,,,,,,,,,,,,
6,EWTX,EDGEWISE THERAPEUTICS,Health Care,6,45.860001,,5,46.939999,-0.02300805,6,45.439999,0.03301056,,,,,,,35,44.400002,,,,,,,,,,,,,
7,ISRG,Intuitive Surgical,Health Care,7,392.184998,,31,383.540009,0.02253999,,,,,,,,,,,,,,,,,,,,,,,,
8,FFIV,"F5, Inc.",Information Technology,8,428.019989,,9,434.619995,-0.01518569,1,423.589996,0.02603933,1,430.880005,-0.01691888,8,411.48999,0.04712147,27,411.709991,-0.00053436,,,,,,,,,,,,
9,BRKR,Bruker Corporation - Common Stock,,9,60.990002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PANW,Palo Alto Networks,Information Technology,10,361.529999,,24,375.059998,-0.03607423,27,375.649994,-0.00157060,5,375.089996,0.00149297,,,,,,,,,,,,,,,,,,
11,GOOGL,Alphabet Inc. (Class A),Communication Services,11,349.529999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,QCOM,Qualcomm,Information Technology,12,177.785004,,4,188.710007,-0.05789308,2,184.839996,0.02093709,3,187.800003,-0.01576149,2,180.149994,0.04246466,1,181.970001,-0.01000169,2,176.880005,0.02877655,1,176.399994,0.00272115,,,,,,
13,VRSN,Verisign,Information Technology,13,303.299988,,2,302.049988,0.00413839,3,298.459991,0.01202840,25,297.26001,0.00403681,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
14,EBAY,eBay Inc.,Consumer Discretionary,14,112.974998,,18,112.900002,0.00066427,20,109.169998,0.03416693,27,108.029999,0.01055262,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
15,INTC,Intel,Information Technology,15,107.120003,,,,,,,,,,,,,,20,102.940002,,,,,,,,,,,,,
16,ARE,Alexandria Real Estate Equities,Real Estate,16,54.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RMBI,RICHMOND MUTUAL BANCORPORATION INC,Financials,17,16.09,,14,16.16,-0.00433168,,,,,,,,,,,,,,,,,,,,,,,,
