rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,GOOGL,Alphabet Inc. (Class A),Communication Services,94.25,优先Call候选,354.739899,63.89,1.27,0.01627199,0.03457395,0.02757632,75.1,72.99,100.0,82.24,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -14.9%；低点后抬升 11.5%；10日反转 4.7%；处于60日中上修复区；近期量能抬升 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 58.1；extension 1.1ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
2,GOOG,Alphabet Inc. (Class C),Communication Services,94.23,优先Call候选,350.160004,62.14,1.34,0.01699052,0.03194624,0.02320146,65.2,72.96,88.8,82.24,100.0,100.0,mixed_sideways,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -14.2%；低点后抬升 9.9%；10日反转 4.3%；处于60日中上修复区；近期量能抬升 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 57.4；extension 1.0ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；MACD 保持多头
3,TER,Teradyne,Information Technology,93.49,优先Call候选,390.519989,63.29,0.68,0.05097153,0.19311965,0.04736389,90.4,72.93,66.4,82.24,30.0,100.0,fresh_bullish_cross,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -34.0%；低点后抬升 22.4%；10日反转 5.1%；处于60日中上修复区；近期量能抬升 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 57.1；extension 1.3ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA9/26 新多头交叉；MACD 保持多头
4,VRSN,Verisign,Information Technology,92.59,优先Call候选,304.809998,61.55,0.56,0.00580766,0.02247497,0.08856822,75.1,64.3,100.0,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：杯柄/上升三角突破: 近1日放量突破整理高点；箱体宽 13.5%；量能 1.9x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 62.6；extension 1.6ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
5,ISRG,Intuitive Surgical,Health Care,92.57,优先Call候选,401.395386,72.77,0.51,0.02081685,0.06697335,0.05486019,67.1,74.16,100.0,64.24,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -23.3%；低点后抬升 20.8%；10日反转 14.5%；处于60日中上修复区；近期量能抬升 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 64.3；extension 1.8ATR；4H确认：翻转前 14 根 4H 空头排列；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
6,ARQT,ARCUTIS BIOTHERAPEUTICS,Health Care,91.61,优先Call候选,27.23,64.21,0.54,0.07183621,0.15773810,0.08399677,87.7,75.94,81.8,82.24,30.0,100.0,early_transition,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -13.5%；低点后抬升 28.3%；10日反转 11.6%；处于60日中上修复区；近期量能抬升 3.5x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 61.7；extension 1.6ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 早期转强；MACD 保持多头
7,CVLT,COMMVAULT SYSTEMS,Information Technology,91.42,优先Call候选,143.365005,55.8,0.38,-0.00785464,-0.00316369,0.08535854,65.2,61.59,64.9,82.24,30.0,100.0,mixed_sideways,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -24.3%；低点后抬升 23.4%；10日反转 7.7%；处于60日中上修复区；近期量能抬升 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 55.7；extension 0.9ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；MACD 保持多头
8,PANW,Palo Alto Networks,Information Technology,91.28,优先Call候选,366.304993,53.44,0.8,0.00752258,-0.02880669,0.02339843,65.2,61.03,69.9,82.24,68.0,100.0,mixed_sideways,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -13.3%；低点后抬升 40.9%；10日反转 8.9%；处于60日中上修复区；近期量能抬升 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 53.9；extension 0.5ATR；4H确认：4H三线翻转确认；MACD 保持多头
9,ADPT,ADAPTIVE BIOTECHNOLOGIES,Health Care,90.67,优先Call候选,27.725,64.99,2.33,-0.03127187,0.08555203,0.07586341,75.1,61.98,74.0,82.24,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：老鸭头/黄金坑洗盘: 先有上升颈部 21.1%；回踩靠近 EMA50/60 日线区域；EMA9/26/50 重新转顺；MACD 水上/改善；量能 1.0x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 65.2；extension 1.7ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
10,EBAY,eBay Inc.,Consumer Discretionary,90.42,优先Call候选,107.540001,48.52,0.6,-0.03836181,-0.00545636,0.02781233,37.3,76.07,64.9,69.04,30.0,100.0,bearish_transition,fresh_bearish_cross,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -14.0%；低点后抬升 6.6%；10日反转 2.8%；处于60日中上修复区；近期量能抬升 1.7x；趋势确认：日线价格站回EMA26；MACD水上/柱体改善；RSI可交易区 50.4；extension 0.0ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认
